"
She Looks So Perfect Lyrics
",http://www.metrolyrics.com/she-looks-so-perfect-lyrics-ed-sheeran.html," Hey, hey, hey, hey, Hey, hey, hey, hey, Hey, hey, hey, hey Simmer down, simmer down, They say we're too young now to amount to anything else, But look around, We work too damn hard for this just to give it up now, If you don't swim, you'll drown, But don't move, honey, You look so perfect standing there, In my American Apparel underwear, And I know now, that I'm so down, Your lipstick stain is a work of art, I got your name tattooed in an arrow heart And I know now, that I'm so down (whoa) Hey, hey!, Hey, hey, hey, hey Hey, hey, Hey, hey Let's get out, let's get out', Cause this deadbeat town's only here just to keep us down, While I was out, I found myself alone just thinking, If I showed up with a plane ticket, And a shiny diamond ring with your name on it, Would you wanna run away too?, 'Cause all I really want is you, You look so perfect standing there, In my American Apparel underwear, And I know now, that I'm so down Your lipstick stain is a work of art, I got your name tattooed in an arrow heart, And I know now, that I'm so down Hey, hey, hey, Hey, hey, hey, hey, Hey, hey, hey, Hey, hey, hey, hey Hey, hey, hey, hey, Hey, hey, hey, hey, Hey, hey, hey, hey, Hey, hey, hey You look so perfect standing there, In my American Apparel underwear, And I know now, that I'm so down, Your lipstick stain is a work of art, I got your name tattooed in an arrow heart, And I know now, that I'm so down, You look so perfect standing there, In my American Apparel underwear, And I know now, that I'm so down, Your lipstick stain is a work of art, I got your name tattooed in an arrow heart, And I know now, that I'm so down"
"
Shape of You Lyrics
",http://www.metrolyrics.com/shape-of-you-lyrics-ed-sheeran.html," The club isn't the best place to find a lover, So the bar is where I go, Me and my friends at the table doing shots, Drinking fast, and then we talk slow And you come over and start up a conversation with just me, And trust me, I'll give it a chance now, Take my hand, stop, Put ""Van the Man"" on the jukebox, And then we start to dance, And now I'm singing like Girl, you know I want your love, Your love was handmade for somebody like me, Come on now, follow my lead, I may be crazy, don't mind me Say: ""Boy, let's not talk too much, Grab on my waist and put that body on me"", Come on now, follow my lead, Come, come on now, follow my lead I'm in love with the shape of you, We push and pull like a magnet do, Although my heart is falling too, I'm in love with your body, Last night you were in my room, And now my bed sheets smell like you, Every day discovering something brand new Oh, I'm in love with your body, Oh-i-oh-i-oh-i-oh-i, Oh, I'm in love with your body, Oh-i-oh-i-oh-i-oh-i, Oh, I'm in love with your body, Oh-i-oh-i-oh-i-oh-i, Oh, I'm in love with your body, Every day discovering something brand new, I'm in love with the shape of you One week in we let the story begin, We're going out on our first date, But you and me are thrifty, So go all-you-can-eat, Fill up your bag, and I fill up a plate We talk for hours and hours about the sweet and the sour, And how your family is doing okay, And leave and get in a taxi, then kiss in the back seat, Tell the driver make the radio play, And now I'm singing like Girl, you know I want your love, Your love was handmade for somebody like me, Come on now, follow my lead, I may be crazy, don't mind me Say: ""Boy, let's not talk too much, Grab on my waist and put that body on me"", Come on now, follow my lead, Come, come on now, follow my lead I'm in love with the shape of you, We push and pull like a magnet do, Although my heart is falling too, I'm in love with your body, Last night you were in my room, And now my bed sheets smell like you, Every day discovering something brand new Oh, I'm in love with your body, Oh-i-oh-i-oh-i-oh-i, Oh, I'm in love with your body, Oh-i-oh-i-oh-i-oh-i, Oh, I'm in love with your body, Oh-i-oh-i-oh-i-oh-i, Oh, I'm in love with your body, Every day discovering something brand new, I'm in love with the shape of you Come on, be my baby, come on, Come on, be my baby, come on, Come on, be my baby, come on, Come on, be my baby, come on, Come on, be my baby, come on, Come on, be my baby, come on, Come on, be my baby, come on, Come on, be my baby, come on I'm in love with the shape of you, We push and pull like a magnet do, Although my heart is falling too, I'm in love with your body, Last night you were in my room, And now my bed sheets smell like you, Every day discovering something brand new Oh, I'm in love with your body, Come on, be my baby, come on, (Come on, be my baby, come on), I'm in love with your body, Come on, be my baby, come on, (Come on, be my baby, come on), Oh, I'm in love with your body, Come on, be my baby, come on, (Come on, be my baby, come on), I'm in love with your body, Every day discovering something brand new, I'm in love with the shape of you"
"
Perfect Lyrics
",http://www.metrolyrics.com/perfect-lyrics-ed-sheeran.html," I found a love for me, Darling, just dive right in and follow my lead, Well, I found a girl, beautiful and sweet, Oh, I never knew you were the someone waiting for me, 'Cause we were just kids when we fell in love, Not knowing what it was, I will not give you up this time, But darling, just kiss me slow, your heart is all I own, And in your eyes you're holding mine Baby, I'm dancing in the dark with you between my arms, Barefoot on the grass, listening to our favorite song, When you said you looked a mess, I whispered underneath my breath, But you heard it, darling, you look perfect tonight Well I found a woman, stronger than anyone I know, She shares my dreams, I hope that someday I'll share her home, I found a love, to carry more than just my secrets, To carry love, to carry children of our own, We are still kids, but we're so in love, Fighting against all odds, I know we'll be alright this time, Darling, just hold my hand, Be my girl, I'll be your man, I see my future in your eyes Baby, I'm dancing in the dark, with you between my arms, Barefoot on the grass, listening to our favorite song, When you saw you in that dress, looking so beautiful, I don't deserve this, darling, you look perfect tonight Baby, I'm dancing in the dark, with you between my arms, Barefoot in the grass, listening to our favorite song, I have faith in what I see, Now I know I have met an angel in person, And she looks perfect, no I don't deserve this, You look perfect tonight"
"
Photograph Lyrics
",http://www.metrolyrics.com/photograph-lyrics-ed-sheeran.html," Loving can hurt, Loving can hurt sometimes, But it's the only thing, That I know. And when it gets hard, You know it can get hard sometimes, It is the only thing that makes us feel alive. We keep this love in a photograph, We make these memories for ourselves, Where our eyes are never closing, Hearts are never broken, And time's forever frozen still. So you can keep me, Inside the pocket, Of your ripped jeans, Holdin' me closer, Till our eyes meet, You won't ever be alone, Wait for me to come home. Loving can heal, Loving can mend your soul, And is the only thing, That I know (know), I swear it will get easier, Remember that with every piece of ya, And it's the only thing we take with us when we die. We keep this love in a photograph, We make these memories for ourselves, Where our eyes are never closing, Our hearts were never broken, And time's forever frozen still. So you can keep me, Inside the pocket, Of your ripped jeans, Holdin' me closer, Till our eyes meet, You won't ever be alone. And if you hurt me, Well that's okay baby only words bleed, Inside these pages you just hold me, And I won't ever let you go. Wait for me to come home, Wait for me to come home, Wait for me to come home, Wait for me to come home. Oh you can fit me, Inside the necklace you got when you were 16, Next to your heartbeat, Where I should be, Keep it deep within your soul. And if you hurt me, Well that's okay baby only words bleed, Inside these pages you just hold me, And I won't ever let you go. When I'm away, I will remember how you kissed me, Under the lamppost, Back on 6th street, Hearing you whisper through the phone, Wait for me to come home."
"
Thinking Out Loud Lyrics
",http://www.metrolyrics.com/thinking-out-loud-lyrics-ed-sheeran.html," When your legs don't work like they used to before, And I can't sweep you off of your feet, Will your mouth still remember the taste of my love?, Will your eyes still smile from your cheeks? And, darling, I will be loving you till we're 70, And, baby, my heart could still fall as hard at 23, And I'm thinking 'bout how people fall in love in mysterious ways, Maybe just the touch of a hand, Well, me, I fall in love with you every single day, And I just wanna tell you I am So, honey, now, Take me into your loving arms, Kiss me under the light of a thousand stars, Place your head on my beating heart, I'm thinking out loud, Maybe we found love right where we are When my hair's all but gone, and my memory fades, And the crowds don't remember my name, When my hands don't play the strings the same way, I know you will still love me the same 'Cause, honey, your soul could never grow old, it's evergreen, And, baby, your smile's forever in my mind and memory, I'm thinking 'bout how people fall in love in mysterious ways, And maybe it's all part of a plan, Well, I'll just keep on making the same mistakes, Hoping that you'll understand That, baby, now, Take me into your loving arms, Kiss me under the light of a thousand stars, Place your head on my beating heart, I'm thinking out loud, And maybe we found love right where we are La la la, la la la, la la la, la la la loud So, baby, now, Take me into your loving arms, Kiss me under the light of a thousand stars, Oh, darling, place your head on my beating heart, I'm thinking out loud, Then maybe we found love right where we are, Oh, baby, we found love right where we are, And we found love right where we are"
"
Happier Lyrics
",http://www.metrolyrics.com/happier-lyrics-ed-sheeran.html," Walking down 29th and park, I saw you in another's arms, Only a month we've been apart, You look happier Saw you walk inside a bar, He said something to make you laugh, I saw that both your smiles were twice as wide as ours, Yeah, you look happier, you do Ain't nobody hurt you like I hurt you, But ain't nobody love you like I do, Promise that I will not take it personal, baby, If you're moving on with someone new 'Cause baby you look happier, you do, My friends told me one day I'll feel it too, And until then I'll smile to hide the truth, But I know I was happier with you Sat on the corner of the room, Everything's reminding me of you, Nursing an empty bottle and telling myself you're happier, Aren't you? Ain't nobody hurt you like I hurt you, But ain't nobody need you like I do, I know that there's others that deserve you, But my darling, I am still in love with you But I guess you look happier, you do, My friends told me one day I'll feel it too, I could try to smile to hide the truth, But I know I was happier with you Baby, you look happier, you do, I know one day you'd fall for someone new, But if he breaks your heart like lovers do, Just know that I'll be waiting here for you"
"
A Team Lyrics
",http://www.metrolyrics.com/a-team-lyrics-ed-sheeran.html," White lips, pale face, Breathing in snowflakes, Burnt lungs, sour taste Light's gone, day's end, Struggling to pay rent, Long nights, strange men And they say, She's in the Class A Team, Stuck in her daydream, Been this way since eighteen, But lately,, Her face seems, Slowly sinking, wasting, Crumbling like pastries, And they scream, The worst things in life come free to us 'Cause we're just under the upper hand, And go mad for a couple grams, And she don't want to go outside tonight, And in a pipe she flies to the Motherland, Or sells love to another man, It's too cold outside, For angels to fly, Angels to fly Ripped gloves, raincoat, Tried to swim and stay afloat, Dry house, wet clothes, Loose change, bank notes, Weary-eyed, dry throat, Call girl, no phone And they say, She's in the Class A Team, Stuck in her daydream, Been this way since eighteen, But lately,, Her face seems, Slowly sinking, wasting, Crumbling like pastries, And they scream, The worst things in life come free to us 'Cause we're just under the upper hand, And go mad for a couple grams, And she don't want to go outside tonight, And in a pipe she flies to the Motherland, Or sells love to another man, It's too cold outside, For angels to fly An angel will die, Covered in white, Closed eye, And hoping for a better life, This time will fade out tonight, Straight down the line And they say, She's in the Class A Team, Stuck in her daydream, Been this way since eighteen, But lately,, Her face seems, Slowly sinking, wasting, Crumbling like pastries, They scream, The worst things in life come free to us And we're all under the upper hand, And go mad for a couple grams, And we don't want to go outside tonight, And in a pipe we fly to the Motherland, Or sell love to another man, It's too cold outside, For angels to fly, Angels to fly, To fly, fly, For angels to fly, to fly, to fly, For angels to die"
"
I See Fire Lyrics
",http://www.metrolyrics.com/i-see-fire-lyrics-ed-sheeran.html," Oh, misty eye of the mountain below, Keep careful watch of my brothers' souls, And should the sky be filled with fire and smoke, Keep watching over Durin's sons If this is to end in fire, Then we should all burn together, Watch the flames climb high into the night Calling out father oh, Stand by and we will, Watch the flames burn on and on, The mountain side And if we should die tonight, Then we should all die together, Raise a glass of wine for the last time Calling out father oh, Prepare as we will, Watch the flames burn on and on, The mountain side, Desolation comes upon the sky Now I see fire, Inside the mountain, I see fire, Burning the trees, And I see fire, Hollowing souls, I see fire, Blood in the breeze, And I hope that you remember me Oh, should my people fall, Then surely I'll do the same, Confined in mountain halls, We got too close to the flame Calling out father oh, Hold fast and we will, Watch the flames burn auburn on, The mountain side, Desolation comes upon the sky Now I see fire, Inside the mountain, I see fire, Burning the trees, I see fire, Hollowing souls, I see fire, Blood in the breeze, And I hope that you remember me And if the night is burning, I will cover my eyes, For if the dark returns, Then my brothers will die, And as the sky is falling down, It crashed into this lonely town, And with that shadow upon the ground, I hear my people screaming out Now I see fire, Inside the mountains, I see fire, Burning the trees, I see fire, Hollowing souls, I see fire, Blood in the breeze, I see fire (oh you know I saw a city burning out) (fire), And I see fire (feel the heat upon my skin, yeah) (fire), And I see fire (fire), And I see fire burn auburn on the mountain side"
"
Supermarket Flowers Lyrics
",http://www.metrolyrics.com/supermarket-flowers-lyrics-ed-sheeran.html," I took the supermarket flowers from the windowsill, I threw the day old tea from the cup, Packed up the photo album Matthew had made, Memories of a life that's been loved, Took the get well soon cards and stuffed animals, Poured the old ginger beer down the sink, Dad always told me, ""Don't you cry when you're down"", But mum, there's a tear every time that I blink Oh I'm in pieces, it's tearing me up, but I know, A heart that's broke is a heart that's been loved So I'll sing Hallelujah, You were an angel in the shape of my mum, When I fell down you'd be there holding me up, Spread your wings as you go, And when God takes you back we'll say Hallelujah, You're home Fluffed the pillows, made the beds, stacked the chairs up, Folded your nightgowns neatly in a case, John says he'd drive then put his hand on my cheek, And wiped a tear from the side of my face I hope that I see the world as you did 'cause I know, A life with love is a life that's been lived So I'll sing Hallelujah, You were an angel in the shape of my mum, When I fell down you'd be there holding me up, Spread your wings as you go, And when God takes you back we'll say Hallelujah, You're home Hallelujah, You were an angel in the shape of my mum, You got to see the person I have become, Spread your wings and I know, That when God took you back he said Hallelujah, You're home"
"
Castle on the Hill Lyrics
",http://www.metrolyrics.com/castle-on-the-hill-lyrics-ed-sheeran.html," When I was six years old, I broke my leg, I was running from my brother and his friends, And tasted the sweet perfume of the mountain grass I rolled down, I was younger then, take me back to when I Found my heart and broke it here, Made friends and lost them through the years, And I've not seen the roaring fields in so long, I know I've grown, but I can't wait to go home I'm on my way, Driving at 90 down those country lanes, Singing to Tiny Dancer, And I miss the way you make me feel, and it's real, When we watched the sunset over the castle on the hill Fifteen years old and smoking hand-rolled cigarettes, Running from the law through the backfields and, Getting drunk with my friends, Had my first kiss on a Friday night, I don't reckon that I did it right, but I was younger then, take me back to when, We found weekend jobs, when we got paid, We'd buy cheap spirits and drink them straight, Me and my friends have not thrown up in so long, Oh, how we've grown, but I can't wait to go home I'm on my way, Driving at 90 down those country lanes, Singing to Tiny Dancer, And I miss the way you make me feel, and it's real, When we watched the sunset over the castle on the hill, Over the castle on the hill, Over the castle on the hill One friend left to sell clothes, One works down by the coast, One had two kids, but lives alone, One's brother overdosed, One's already on his second wife, One's just barely getting by, but, These people raised me, And I can't wait to go home And I'm on my way, I still remember these old country lanes, When we did not know the answers, And I miss the way you make me feel, and it's real, When we watched the sunset over the castle on the hill, Over the castle on the hill, Over the castle on the hill"
